,country,year,total,sex,suicides_no,population
260,Albania,2010,2544.0,female,7,241491
261,Albania,2010,2544.0,female,6,263581
262,Albania,2010,2544.0,female,2,223969
263,Albania,2010,2544.0,male,0,240939
264,Argentina,1985,2525.1999999999994,male,202,363000
265,Argentina,1985,2525.1999999999994,male,485,1997000
266,Argentina,1985,2525.1999999999994,male,414,3346300
267,Argentina,1985,2525.1999999999994,female,210,2304000
268,Argentina,1985,2525.1999999999994,male,177,2234200
269,Argentina,1985,2525.1999999999994,female,41,537000
270,Argentina,1985,2525.1999999999994,male,156,2415200
271,Argentina,1985,2525.1999999999994,female,142,3355300
272,Argentina,1985,2525.1999999999994,female,65,2185200
273,Argentina,1985,2525.1999999999994,female,69,2354200
274,Argentina,1985,2525.1999999999994,male,16,3044200
275,Argentina,1985,2525.1999999999994,female,11,2955200
276,Argentina,1986,2525.1999999999994,male,230,365000
277,Argentina,1986,2525.1999999999994,male,530,2008300
278,Argentina,1986,2525.1999999999994,male,478,3365200
279,Argentina,1986,2525.1999999999994,male,209,2246900
280,Argentina,1986,2525.1999999999994,female,48,540200
281,Argentina,1986,2525.1999999999994,female,201,2317100
282,Argentina,1986,2525.1999999999994,male,186,2428900
283,Argentina,1986,2525.1999999999994,female,188,3374300
284,Argentina,1986,2525.1999999999994,female,96,2197600
285,Argentina,1986,2525.1999999999994,female,101,2367600
286,Argentina,1986,2525.1999999999994,male,10,3061400
287,Argentina,1986,2525.1999999999994,female,7,2971900
288,Argentina,1987,2525.1999999999994,male,200,369800
289,Argentina,1987,2525.1999999999994,male,532,2034500
290,Argentina,1987,2525.1999999999994,male,482,3409100
291,Argentina,1987,2525.1999999999994,female,57,547000
292,Argentina,1987,2525.1999999999994,female,224,2347300
293,Argentina,1987,2525.1999999999994,male,192,2276200
294,Argentina,1987,2525.1999999999994,male,179,2460600
295,Argentina,1987,2525.1999999999994,female,209,3418300
296,Argentina,1987,2525.1999999999994,female,89,2226200
297,Argentina,1987,2525.1999999999994,female,93,2398400
298,Argentina,1987,2525.1999999999994,male,15,3101300
299,Argentina,1987,2525.1999999999994,female,14,3010700
300,Argentina,1988,2525.1999999999994,male,216,392000
301,Argentina,1988,2525.1999999999994,male,550,2079000
302,Argentina,1988,2525.1999999999994,male,477,3503000
303,Argentina,1988,2525.1999999999994,female,61,602000
304,Argentina,1988,2525.1999999999994,female,233,2412000
305,Argentina,1988,2525.1999999999994,male,215,2276000
306,Argentina,1988,2525.1999999999994,male,211,2524000
307,Argentina,1988,2525.1999999999994,female,198,3508000
308,Argentina,1988,2525.1999999999994,female,101,2459000
309,Argentina,1988,2525.1999999999994,female,61,2228000
310,Argentina,1988,2525.1999999999994,male,20,3210000
311,Argentina,1988,2525.1999999999994,female,11,3115000
312,Argentina,1989,2525.1999999999994,male,208,400000
313,Argentina,1989,2525.1999999999994,male,548,2105000
314,Argentina,1989,2525.1999999999994,male,462,3561000
315,Argentina,1989,2525.1999999999994,female,65,622000
316,Argentina,1989,2525.1999999999994,male,219,2287000
317,Argentina,1989,2525.1999999999994,female,201,2446000
318,Argentina,1989,2525.1999999999994,male,186,2575000
319,Argentina,1989,2525.1999999999994,female,166,3563000
320,Argentina,1989,2525.1999999999994,female,83,2240000
321,Argentina,1989,2525.1999999999994,female,80,2509000
322,Argentina,1989,2525.1999999999994,male,18,3245000
323,Argentina,1989,2525.1999999999994,female,11,3149000
324,Argentina,1990,2525.1999999999994,male,226,411100
325,Argentina,1990,2525.1999999999994,male,502,2128000
326,Argentina,1990,2525.1999999999994,male,439,3619000
327,Argentina,1990,2525.1999999999994,female,61,643000
328,Argentina,1990,2525.1999999999994,male,182,2297000
329,Argentina,1990,2525.1999999999994,female,190,2477000
330,Argentina,1990,2525.1999999999994,male,174,2635000
331,Argentina,1990,2525.1999999999994,female,163,3622000
332,Argentina,1990,2525.1999999999994,female,91,2568000
333,Argentina,1990,2525.1999999999994,female,76,2251000
334,Argentina,1990,2525.1999999999994,male,22,3269000
335,Argentina,1990,2525.1999999999994,female,14,3171000
336,Argentina,1991,2525.1999999999994,male,184,396000
337,Argentina,1991,2525.1999999999994,male,449,2130000
338,Argentina,1991,2525.1999999999994,male,398,3580000
339,Argentina,1991,2525.1999999999994,male,214,2277000
340,Argentina,1991,2525.1999999999994,female,50,658000
341,Argentina,1991,2525.1999999999994,female,169,2508000
342,Argentina,1991,2525.1999999999994,male,179,2738000
343,Argentina,1991,2525.1999999999994,female,133,3691000
344,Argentina,1991,2525.1999999999994,female,77,2310000
345,Argentina,1991,2525.1999999999994,female,61,2689000
346,Argentina,1991,2525.1999999999994,male,28,3369000
347,Argentina,1991,2525.1999999999994,female,9,3277000
348,Argentina,1992,2525.1999999999994,male,194,404900
349,Argentina,1992,2525.1999999999994,male,500,2150500
350,Argentina,1992,2525.1999999999994,male,488,3616600
351,Argentina,1992,2525.1999999999994,male,227,2306200
352,Argentina,1992,2525.1999999999994,male,249,2834100
353,Argentina,1992,2525.1999999999994,female,46,678000
354,Argentina,1992,2525.1999999999994,female,147,2538400
355,Argentina,1992,2525.1999999999994,female,140,3755500
356,Argentina,1992,2525.1999999999994,female,79,2329100
357,Argentina,1992,2525.1999999999994,female,79,2783500
358,Argentina,1992,2525.1999999999994,male,22,3371800
359,Argentina,1992,2525.1999999999994,female,13,3276800
360,Argentina,1993,2525.1999999999994,male,229,413600
361,Argentina,1993,2525.1999999999994,male,520,2171500
362,Argentina,1993,2525.1999999999994,male,495,3672300
363,Argentina,1993,2525.1999999999994,male,233,2336300
364,Argentina,1993,2525.1999999999994,female,58,698400
365,Argentina,1993,2525.1999999999994,male,235,2932300
366,Argentina,1993,2525.1999999999994,female,126,2568300
367,Argentina,1993,2525.1999999999994,female,144,3820400
368,Argentina,1993,2525.1999999999994,female,76,2347800
369,Argentina,1993,2525.1999999999994,female,73,2879300
370,Argentina,1993,2525.1999999999994,male,25,3367500
371,Argentina,1993,2525.1999999999994,female,16,3269800
372,Argentina,1994,2525.1999999999994,male,192,423100
373,Argentina,1994,2525.1999999999994,male,509,2192500
374,Argentina,1994,2525.1999999999994,male,527,3729600
375,Argentina,1994,2525.1999999999994,male,226,2369000
376,Argentina,1994,2525.1999999999994,male,250,3027200
377,Argentina,1994,2525.1999999999994,female,135,2597400
378,Argentina,1994,2525.1999999999994,female,34,719700
379,Argentina,1994,2525.1999999999994,female,160,3885600
380,Argentina,1994,2525.1999999999994,female,98,2971300
381,Argentina,1994,2525.1999999999994,female,72,2369900
382,Argentina,1994,2525.1999999999994,male,27,3363000
383,Argentina,1994,2525.1999999999994,female,11,3262900
384,Argentina,1995,2525.1999999999994,male,190,433800
385,Argentina,1995,2525.1999999999994,male,515,2214000
386,Argentina,1995,2525.1999999999994,male,485,3787800
387,Argentina,1995,2525.1999999999994,male,218,2404900
388,Argentina,1995,2525.1999999999994,male,277,3112100
389,Argentina,1995,2525.1999999999994,female,49,742200
390,Argentina,1995,2525.1999999999994,female,134,2625900
391,Argentina,1995,2525.1999999999994,female,139,3950100
392,Argentina,1995,2525.1999999999994,female,101,3053300
393,Argentina,1995,2525.1999999999994,female,62,2396900
394,Argentina,1995,2525.1999999999994,female,19,3261100
395,Argentina,1995,2525.1999999999994,male,15,3363300
396,Argentina,1996,2525.1999999999994,male,189,445800
397,Argentina,1996,2525.1999999999994,male,464,2235900
398,Argentina,1996,2525.1999999999994,male,524,3847300
399,Argentina,1996,2525.1999999999994,male,226,2442900
400,Argentina,1996,2525.1999999999994,male,280,3185600
401,Argentina,1996,2525.1999999999994,female,59,766100
402,Argentina,1996,2525.1999999999994,female,131,2653800
403,Argentina,1996,2525.1999999999994,female,176,4014100
404,Argentina,1996,2525.1999999999994,female,105,3123600
405,Argentina,1996,2525.1999999999994,female,52,2428400
406,Argentina,1996,2525.1999999999994,male,14,3370400
407,Argentina,1996,2525.1999999999994,female,9,3266800
408,Argentina,1997,2525.1999999999994,male,195,490152
409,Argentina,1997,2525.1999999999994,male,457,2252148
410,Argentina,1997,2525.1999999999994,male,501,3934581
411,Argentina,1997,2525.1999999999994,male,213,2460112
412,Argentina,1997,2525.1999999999994,male,260,3198193
413,Argentina,1997,2525.1999999999994,female,47,854095
414,Argentina,1997,2525.1999999999994,female,131,2668528
415,Argentina,1997,2525.1999999999994,female,165,4083427
416,Argentina,1997,2525.1999999999994,female,113,3161000
417,Argentina,1997,2525.1999999999994,female,72,2474330
418,Argentina,1997,2525.1999999999994,male,19,3429860
419,Argentina,1997,2525.1999999999994,female,11,3327355
420,Argentina,1998,2525.1999999999994,male,201,504164
421,Argentina,1998,2525.1999999999994,male,518,2274972
422,Argentina,1998,2525.1999999999994,male,508,3990829
423,Argentina,1998,2525.1999999999994,male,327,3243944
424,Argentina,1998,2525.1999999999994,male,251,2497189
425,Argentina,1998,2525.1999999999994,female,53,883724
426,Argentina,1998,2525.1999999999994,female,140,2696429
427,Argentina,1998,2525.1999999999994,female,114,3200362
428,Argentina,1998,2525.1999999999994,female,147,4143203
429,Argentina,1998,2525.1999999999994,female,52,2512005
430,Argentina,1998,2525.1999999999994,female,20,3353473
431,Argentina,1998,2525.1999999999994,male,16,3456965
432,Argentina,1999,2525.1999999999994,male,204,515800
433,Argentina,1999,2525.1999999999994,male,540,2301840
434,Argentina,1999,2525.1999999999994,male,545,4045105
435,Argentina,1999,2525.1999999999994,male,355,3279728
436,Argentina,1999,2525.1999999999994,male,265,2543861
437,Argentina,1999,2525.1999999999994,female,137,2727054
438,Argentina,1999,2525.1999999999994,female,44,912898
439,Argentina,1999,2525.1999999999994,female,141,4200203
440,Argentina,1999,2525.1999999999994,female,101,3229424
441,Argentina,1999,2525.1999999999994,female,50,2559176
442,Argentina,1999,2525.1999999999994,male,21,3482230
443,Argentina,1999,2525.1999999999994,female,20,3377543
444,Argentina,2000,2525.1999999999994,male,232,525161
445,Argentina,2000,2525.1999999999994,male,602,2333377
446,Argentina,2000,2525.1999999999994,male,578,4096814
447,Argentina,2000,2525.1999999999994,male,463,3306109
448,Argentina,2000,2525.1999999999994,male,331,2602314
449,Argentina,2000,2525.1999999999994,female,133,2760512
450,Argentina,2000,2525.1999999999994,female,43,941957
451,Argentina,2000,2525.1999999999994,female,174,4253771
452,Argentina,2000,2525.1999999999994,female,116,3249247
453,Argentina,2000,2525.1999999999994,female,63,2617723
